rank,priority_bucket,faculty_name,likely_faculty_status,institution,country_code,us_or_non_us,in_existing_us_grad_program_file,grad_advisor_fit,advisor_competitiveness,matched_works_count,most_recent_matched_year,computational_ecology_fit_tags,openalex_h_index,openalex_works_count,openalex_cited_by_count,top_matched_journals,representative_work_1,representative_work_2,representative_work_3,why_theo_should_research,suggested_first_email_angle,orcid,openalex_profile_url,data_source_snapshot_date
279,C - keep on longlist,Carl Beierkuhnlein,Likely faculty/senior PI,Universidad de Granada,ES,Non-US,no,Possible (manual verification needed),Moderate,3,2023,species_distribution; remote_sensing,71,468,24844,npj Biodiversity; Global Ecology and Biogeography; Community Ecology,Using centroids of spatial units in ecological niche modelling: Effects on model performance in the context of environmental data grain size,A quixotic view of spatial bias in modelling the distribution of species and their diversity,Double down on remote sensing for biodiversity estimation: a biological mindset,"Recurring publication signal (3 matched works) in species_distribution, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-6456-4628,https://openalex.org/A5054949802,2026-04-10
280,C - keep on longlist,Pier Paolo Franzese,Likely faculty/senior PI,Parthenope University of Naples,IT,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2022,ecosystem_modeling; ecological_networks,33,92,2752,Ecological Modelling; Cleaner Production Letters,Marine natural capital and ecosystem services: An environmental accounting model,Ecological network analysis of a metabolic urban system based on input–output tables: Model development and case study for the city of Vienna,Assessing natural capital value in marine ecosystems through an environmental accounting model: A case study in Southern Italy,"Recurring publication signal (3 matched works) in ecosystem_modeling, ecological_networks; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-2156-6380,https://openalex.org/A5066762371,2026-04-10
281,C - keep on longlist,Scott C. Doney,Likely faculty/senior PI,University of Virginia,US,US,no,Strong (university advisor pipeline),Moderate,3,2021,ecosystem_modeling; remote_sensing,129,703,82326,Oceanography; Frontiers in Marine Science; Biogeosciences,Satellite Remote Sensing and the Marine Biodiversity Observation Network: Current Science and Future Steps,Observational Needs Supporting Marine Ecosystems Modeling and Forecasting: From the Global Ocean to Regional and Coastal Systems,"A regional hindcast model simulating ecosystem dynamics, inorganic carbon chemistry, and ocean acidification in the Gulf of Alaska","Recurring publication signal (3 matched works) in ecosystem_modeling, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-3683-2437,https://openalex.org/A5019762083,2026-04-10
282,C - keep on longlist,В. А. Чадаева,Career stage unclear (manual check needed),Institute of Ecology of Mountain Territories,RU,Non-US,no,Possible (manual verification needed),Selective but variable,4,2022,species_distribution,6,73,165,Russian Journal of Biological Invasions; Forest Ecosystems; Geocarto International,Ecological niche modeling of the main forest-forming species in the Caucasus,Ecological Niche Modeling of Galinsoga Ruiz et Pav. Species in the Native and Caucasian Part of the Invasive Ranges,Identification of degradation factors in mountain semiarid rangelands using spatial distribution modelling and ecological niche theory,Recurring publication signal (4 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-0788-1395,https://openalex.org/A5070925049,2026-04-10
283,C - keep on longlist,Andrew Allyn,Possible faculty/senior researcher,Gulf of Maine Research Institute,US,US,no,Possible (verify if supervising PhD students),Selective but variable,3,2023,species_distribution; forecasting,13,34,746,Methods in Ecology and Evolution; Ecological Applications; PLoS ONE,The power of forecasts to advance ecological theory,Comparing and synthesizing quantitative distribution models and qualitative vulnerability assessments to project marine species distributions under climate change,Building use‐inspired species distribution models: Using multiple data types to examine and improve model performance,"Recurring publication signal (3 matched works) in species_distribution, forecasting; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-1584-0198,https://openalex.org/A5041485178,2026-04-10
284,C - keep on longlist,Cornelia Gläßer,Likely faculty/senior PI,Martin Luther University Halle-Wittenberg,DE,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2022,remote_sensing,16,48,820,Remote Sensing,"Linking the Remote Sensing of Geodiversity and Traits Relevant to Biodiversity—Part II: Geomorphology, Terrain and Surfaces",Linking Remote Sensing and Geodiversity and Their Traits Relevant to Biodiversity—Part I: Soil Characteristics,"Remote Sensing of Geomorphodiversity Linked to Biodiversity—Part III: Traits, Processes and Remote Sensing Characteristics",Recurring publication signal (3 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-1176-6613,https://openalex.org/A5012398829,2026-04-10
285,C - keep on longlist,Athanassios C. Tsikliras,Likely faculty/senior PI,Aristotle University of Thessaloniki,GR,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2023,ecosystem_modeling; species_distribution,34,133,4078,Frontiers in Marine Science; Applied Sciences,Species Distribution Modelling via Feature Engineering and Machine Learning for Pelagic Fishes in the Mediterranean Sea,Ecosystem Models and Effort Simulations of an Untrawled Gulf in the Central Aegean Sea,Ecotrophic perspective in fisheries management: a review of Ecopath with Ecosim models in European marine ecosystems,"Recurring publication signal (3 matched works) in ecosystem_modeling, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-9074-3259,https://openalex.org/A5064200710,2026-04-10
286,C - keep on longlist,Shinichiro Shirota,Possible faculty/senior researcher,Hitotsubashi University,JP,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2021,joint_models,9,37,340,Environmental and Ecological Statistics; bioRxiv (Cold Spring Harbor Laboratory); arXiv (Cornell University),The role of odds ratios in joint species distribution modeling,Clarifying species dependence under joint species distribution modeling,Clarifying species dependence under joint species distribution modeling,Recurring publication signal (3 matched works) in joint_models; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in joint models and reference one recent paper where their method could be applied to your data.,,https://openalex.org/A5073125896,2026-04-10
287,C - keep on longlist,Anthony R. Ives,Possible faculty/senior researcher,University of Wisconsin–Madison,US,US,no,Strong (university advisor pipeline),Moderate,2,2020,species_distribution,90,406,33133,Methods in Ecology and Evolution; bioRxiv (Cold Spring Harbor Laboratory),phyr: An <scp>r</scp> package for phylogenetic species‐distribution modelling in ecological communities,phyr: An R package for phylogenetic species-distribution modelling in ecological communities,,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-9375-9523,https://openalex.org/A5089142551,2026-04-10
288,C - keep on longlist,Jean–Claude Dauvin,Likely faculty/senior PI,Continental (France),FR,Non-US,no,Possible (manual verification needed),Selective but variable,4,2025,food_webs; species_distribution,31,300,3349,Ecological Informatics; Journal of Marine Systems; Ecosystem Services,An open-source framework to model present and future marine species distributions at local scale,A spatial food web model to investigate potential spillover effects of a fishery closure in an offshore wind farm,"The usefulness of food web models in the ecosystem services framework: Quantifying, mapping, and linking services supply","Recurring publication signal (4 matched works) in food_webs, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-8361-5382,https://openalex.org/A5059755146,2026-04-10
